subject,n_observations,n_correct,accuracy
BiomedCLIP,140000,91841,0.656007
CheXagent-2-3B,140000,96825,0.691607
CheXagent-8B,140000,90744,0.648171
GPT-5.4,352688,275200,0.780293
InternVL3-8B,140000,80721,0.576579
LLaVA-1.5-7B,140000,81029,0.578779
LLaVA-Med-7B,140000,78666,0.561900
Llama-3.2-Vision-11B,140000,85544,0.611029
MedGemma-4B,140000,85915,0.613679
Phi-3.5-Vision,139986,75048,0.536111
Pixtral-12B,140000,92869,0.663350
Qwen2.5-VL-32B,140000,77207,0.551479
Qwen2.5-VL-3B,168686,110383,0.654370
Qwen2.5-VL-7B,168798,114333,0.677336
gpt-4o,23198,17927,0.772782
