subject,age_bin,n,n_correct,accuracy
BiomedCLIP,40-59,48342,32495,0.672190
BiomedCLIP,60-79,52248,33075,0.633039
BiomedCLIP,80+,18354,11777,0.641658
BiomedCLIP,<40,21056,14494,0.688355
CheXagent-2-3B,40-59,48342,34016,0.703653
CheXagent-2-3B,60-79,52248,35306,0.675739
CheXagent-2-3B,80+,18354,12100,0.659257
CheXagent-2-3B,<40,21056,15403,0.731525
CheXagent-8B,40-59,48342,31976,0.661454
CheXagent-8B,60-79,52248,32737,0.626569
CheXagent-8B,80+,18354,11247,0.612782
CheXagent-8B,<40,21056,14784,0.702128
GPT-5.4,40-59,119392,94112,0.788261
GPT-5.4,60-79,131040,100641,0.768017
GPT-5.4,80+,46900,35849,0.764371
GPT-5.4,<40,52556,42294,0.804742
InternVL3-8B,40-59,48342,27949,0.578152
InternVL3-8B,60-79,52248,29988,0.573955
InternVL3-8B,80+,18354,10292,0.560750
InternVL3-8B,<40,21056,12492,0.593275
LLaVA-1.5-7B,40-59,48342,28735,0.594411
LLaVA-1.5-7B,60-79,52248,28975,0.554567
LLaVA-1.5-7B,80+,18354,10023,0.546093
LLaVA-1.5-7B,<40,21056,13296,0.631459
LLaVA-Med-7B,40-59,48342,27631,0.571573
LLaVA-Med-7B,60-79,52248,28525,0.545954
LLaVA-Med-7B,80+,18354,10036,0.546802
LLaVA-Med-7B,<40,21056,12474,0.592420
Llama-3.2-Vision-11B,40-59,48286,30356,0.628671
Llama-3.2-Vision-11B,60-79,52892,30984,0.585797
Llama-3.2-Vision-11B,80+,18368,10590,0.576546
Llama-3.2-Vision-11B,<40,20454,13614,0.665591
MedGemma-4B,40-59,48342,30088,0.622399
MedGemma-4B,60-79,52248,31307,0.599200
MedGemma-4B,80+,18354,10875,0.592514
MedGemma-4B,<40,21056,13645,0.648034
Phi-3.5-Vision,40-59,48328,26605,0.550509
Phi-3.5-Vision,60-79,52262,26923,0.515154
Phi-3.5-Vision,80+,18354,9098,0.495696
Phi-3.5-Vision,<40,21056,12428,0.590236
Pixtral-12B,40-59,48286,32692,0.677049
Pixtral-12B,60-79,52892,34300,0.648491
Pixtral-12B,80+,18368,11619,0.632568
Pixtral-12B,<40,20454,14258,0.697076
Qwen2.5-VL-32B,40-59,48342,26858,0.555583
Qwen2.5-VL-32B,60-79,52248,28681,0.548940
Qwen2.5-VL-32B,80+,18354,9828,0.535469
Qwen2.5-VL-32B,<40,21056,11840,0.562310
Qwen2.5-VL-3B,40-59,58408,38829,0.664789
Qwen2.5-VL-3B,60-79,63224,40076,0.633873
Qwen2.5-VL-3B,80+,21840,13619,0.623581
Qwen2.5-VL-3B,<40,25214,17859,0.708297
Qwen2.5-VL-7B,40-59,58436,39882,0.682490
Qwen2.5-VL-7B,60-79,63280,42281,0.668157
Qwen2.5-VL-7B,80+,21854,14572,0.666789
Qwen2.5-VL-7B,<40,25228,17598,0.697558
gpt-4o,40-59,6286,4823,0.767261
gpt-4o,60-79,7490,5856,0.781842
gpt-4o,80+,4928,3763,0.763596
gpt-4o,<40,2478,1915,0.772801
