subject,prevalence_tier,n,n_correct,accuracy
BiomedCLIP,high,60000,39528,0.658800
BiomedCLIP,low,40000,28517,0.712925
BiomedCLIP,mid,30000,21400,0.713333
BiomedCLIP,na,10000,2396,0.239600
CheXagent-2-3B,high,60000,38928,0.648800
CheXagent-2-3B,low,40000,33786,0.844650
CheXagent-2-3B,mid,30000,17032,0.567733
CheXagent-2-3B,na,10000,7079,0.707900
CheXagent-8B,high,60000,34651,0.577517
CheXagent-8B,low,40000,32360,0.809000
CheXagent-8B,mid,30000,16523,0.550767
CheXagent-8B,na,10000,7210,0.721000
GPT-5.4,high,151152,114990,0.760757
GPT-5.4,low,100768,83498,0.828616
GPT-5.4,mid,75576,54671,0.723391
GPT-5.4,na,25192,22041,0.874921
InternVL3-8B,high,37800,22462,0.594233
InternVL3-8B,low,25200,16729,0.663849
InternVL3-8B,mid,18900,9441,0.499524
InternVL3-8B,na,6300,2336,0.370794
LLaVA-1.5-7B,high,60000,27852,0.464200
LLaVA-1.5-7B,low,40000,33342,0.833550
LLaVA-1.5-7B,mid,30000,16012,0.533733
LLaVA-1.5-7B,na,10000,3823,0.382300
LLaVA-Med-7B,high,60000,25927,0.432117
LLaVA-Med-7B,low,40000,32765,0.819125
LLaVA-Med-7B,mid,30000,11769,0.392300
LLaVA-Med-7B,na,10000,8205,0.820500
MedGemma-4B,high,25800,15922,0.617132
MedGemma-4B,low,17200,12621,0.733779
MedGemma-4B,mid,12900,7205,0.558527
MedGemma-4B,na,4300,1250,0.290698
Phi-3.5-Vision,high,59994,27566,0.459479
Phi-3.5-Vision,low,39996,29427,0.735749
Phi-3.5-Vision,mid,29997,16447,0.548288
Phi-3.5-Vision,na,9999,1608,0.160816
Qwen2.5-VL-3B,high,59952,32507,0.542217
Qwen2.5-VL-3B,low,39968,33052,0.826962
Qwen2.5-VL-3B,mid,29976,17688,0.590072
Qwen2.5-VL-3B,na,9992,6572,0.657726
Qwen2.5-VL-7B,high,60000,34064,0.567733
Qwen2.5-VL-7B,low,40000,33407,0.835175
Qwen2.5-VL-7B,mid,30000,19103,0.636767
Qwen2.5-VL-7B,na,10000,8326,0.832600
gpt-4o,high,9942,6862,0.690203
gpt-4o,low,6628,6072,0.916113
gpt-4o,mid,4971,3412,0.686381
gpt-4o,na,1657,1581,0.954134
