subject,sex,n,n_correct,accuracy
BiomedCLIP,Female,56280,36791,0.653714
BiomedCLIP,Male,83720,55050,0.657549
CheXagent-2-3B,Female,56280,38693,0.687509
CheXagent-2-3B,Male,83720,58132,0.694362
CheXagent-8B,Female,53102,34141,0.642932
CheXagent-8B,Male,78498,51026,0.650029
GPT-5.4,Female,137648,107541,0.781275
GPT-5.4,Male,212240,165355,0.779094
InternVL3-8B,Female,21014,12122,0.576854
InternVL3-8B,Male,30786,17847,0.579712
LLaVA-1.5-7B,Female,44730,25151,0.562285
LLaVA-1.5-7B,Male,67270,39267,0.583722
LLaVA-Med-7B,Female,56280,31422,0.558316
LLaVA-Med-7B,Male,83720,47244,0.564310
MedGemma-4B,Female,12320,7564,0.613961
MedGemma-4B,Male,17080,10625,0.622073
Phi-3.5-Vision,Female,56280,29511,0.524360
Phi-3.5-Vision,Male,83706,45537,0.544011
Qwen2.5-VL-3B,Female,56196,35824,0.637483
Qwen2.5-VL-3B,Male,83692,53995,0.645163
Qwen2.5-VL-7B,Female,56280,37821,0.672015
Qwen2.5-VL-7B,Male,83720,57079,0.681785
gpt-4o,Female,8568,6595,0.769725
gpt-4o,Male,12614,9762,0.773902
