subject,ability_f0,ability_f1
GPT-5.4,-15.840292,-0.004696
gpt-4o,-6.242009,2.455846
CheXagent-8B,-5.755086,-11.881388
CheXagent-2-3B,-17.294693,-14.524159
LLaVA-Med-7B,0.331389,-3.198579
LLaVA-1.5-7B,-0.813015,-7.714438
MedGemma-4B,-0.047044,-0.522339
InternVL3-8B,-0.004580,0.003450
Phi-3.5-Vision,-0.787778,-34.592197
Qwen2.5-VL-32B,0.226193,-0.640281
BiomedCLIP,-0.514761,0.427287
Pixtral-12B,-2.264899,-0.764995
Llama-3.2-Vision-11B,-0.615847,-5.051876
Qwen2.5-VL-3B,-0.941765,-1.332966
Qwen2.5-VL-7B,-1.913198,0.723403
