subject,ability_f0,ability_f1,ability_f2
GPT-5.4,-6.159558,1.733707,-22.283443
gpt-4o,-0.592429,1.510796,-1.507030
CheXagent-8B,5.243701,-6.889129,-6.620260
CheXagent-2-3B,4.533001,-16.899174,-19.956219
LLaVA-Med-7B,38.142555,1.110756,-3.008996
LLaVA-1.5-7B,7.974249,-1.951367,-2.202874
MedGemma-4B,0.168113,-2.274605,-0.848147
InternVL3-8B,0.029461,-0.513856,0.093991
Phi-3.5-Vision,4.693853,-5.929967,-2.059683
Qwen2.5-VL-32B,-0.471073,-0.715346,-0.261688
BiomedCLIP,0.473013,0.980657,-0.289803
Pixtral-12B,6.332527,6.677626,-11.510199
Llama-3.2-Vision-11B,2.915509,-1.574590,-1.424835
Qwen2.5-VL-3B,3.275784,2.860007,-2.675522
Qwen2.5-VL-7B,4.713577,7.521046,-5.938545
