pathology,loading_general,loading_medical,intercept
No Finding,-0.103807,-1.745215,+0.604425
Enlarged Cardiomediastinum,-0.801009,-0.121514,-0.028188
Cardiomegaly,-0.774916,-0.007789,+0.365659
Lung Opacity,-1.252530,-0.334750,+0.157496
Lung Lesion,-0.080219,-0.523212,+1.563372
Edema,-0.488841,+0.042064,+0.527946
Consolidation,-0.577298,-0.197738,+0.410662
Pneumonia,-0.838084,+0.245215,+0.998061
Atelectasis,-0.560645,-0.241423,+0.211581
Pneumothorax,-0.311987,-0.532588,+1.615317
Pleural Effusion,-0.673181,-0.320051,+0.633040
Pleural Other,+0.836824,-0.511685,+1.791312
Fracture,+0.111567,-0.142793,+0.876635
Support Devices,-0.912804,-0.455587,+0.850070
