subject,is_medical,factor1_general,factor2_medical
GPT-5.4,0,-0.865758,-0.668969
gpt-4o,0,-1.504605,-0.151772
CheXagent-8B,1,-0.297954,+0.340138
CheXagent-2-3B,1,-0.460200,+0.064218
LLaVA-Med-7B,1,-0.630539,+1.156637
LLaVA-1.5-7B,0,+0.370495,+0.575400
MedGemma-4B,1,+0.890264,-0.008964
InternVL3-8B,0,+0.856499,+0.048249
Phi-3.5-Vision,0,+1.190666,+0.454185
Qwen2.5-VL-32B,0,+1.071951,+0.226041
BiomedCLIP,1,+0.981798,-0.779710
Pixtral-12B,0,-0.537617,+0.231014
Llama-3.2-Vision-11B,0,+0.665478,+0.116693
Qwen2.5-VL-3B,0,-0.094108,+0.122163
Qwen2.5-VL-7B,0,-0.533345,+0.120685
