subject,ability_f0,ability_f1
GPT-5.4,-12.616168,-7.864765
gpt-4o,-0.942016,2.395652
CheXagent-8B,0.329750,-8.541121
CheXagent-2-3B,-1.267491,-6.814679
LLaVA-Med-7B,15.348475,-13.768527
LLaVA-1.5-7B,3.340033,-7.014958
MedGemma-4B,-0.424382,-0.185605
InternVL3-8B,-0.227287,0.154740
Phi-3.5-Vision,3.721129,-43.889744
Qwen2.5-VL-32B,-0.891348,-0.031703
BiomedCLIP,-0.066661,-0.251950
Pixtral-12B,0.109801,-0.554529
Llama-3.2-Vision-11B,1.520817,-4.138174
Qwen2.5-VL-3B,0.944747,-1.041373
Qwen2.5-VL-7B,0.354080,0.022908
