subject,ability_f0,ability_f1,ability_f2
GPT-5.4,-11.142014,-3.816174,-13.672019
gpt-4o,-1.549494,0.644863,-0.134029
CheXagent-8B,5.746978,-6.311410,-6.623000
CheXagent-2-3B,5.557584,-23.467331,-19.161676
LLaVA-Med-7B,18.870758,-8.002859,2.287274
LLaVA-1.5-7B,12.961234,0.317374,-6.201437
MedGemma-4B,0.186393,-0.220968,0.109695
InternVL3-8B,0.005481,0.524628,0.080059
Phi-3.5-Vision,3.772397,-1.494304,-0.015389
Qwen2.5-VL-32B,-0.599670,-1.037780,-0.412890
BiomedCLIP,0.180594,0.483064,-0.777197
Pixtral-12B,9.387033,10.667942,-21.217999
Llama-3.2-Vision-11B,3.476999,1.203338,-1.740184
Qwen2.5-VL-3B,6.471910,5.837616,-7.575875
Qwen2.5-VL-7B,4.565799,8.033249,-8.064354
