item_idx,image_path,pathology,intercept_Z,loading_V_0,loading_V_1,loading_V_2
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Cardiomegaly,-2.235948,4.361077,-0.065525,-1.262146
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Lung Opacity,-3.248921,2.424462,-2.069363,-2.444428
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Edema,2.216411,-3.284816,1.178727,1.113915
3,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Atelectasis,3.920950,-1.344479,4.320425,1.388543
4,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pleural Effusion,3.217320,-3.495385,0.662862,0.515046
5,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Support Devices,-2.313460,3.113471,-3.060860,-3.668499
6,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Cardiomegaly,-0.746336,-0.085194,-0.093348,0.687050
7,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Lung Opacity,2.879236,-2.140018,-1.232040,-0.341582
8,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Edema,1.115075,-1.324005,-0.799329,-1.403476
9,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Atelectasis,-0.269893,-1.847357,0.773597,-3.905312
10,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pleural Effusion,1.146634,-1.531018,-2.452207,-0.939027
11,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Support Devices,-1.337729,1.197813,0.751932,2.966587
12,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Cardiomegaly,1.951797,-4.309295,0.103077,1.453199
13,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Lung Opacity,-4.182724,1.025678,-5.163947,-3.174282
14,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Edema,-3.002218,3.575946,-0.613711,-0.914291
15,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Atelectasis,2.549778,-2.884284,3.113528,3.129552
16,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pleural Effusion,3.255435,-2.299607,2.187887,2.323815
17,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Support Devices,1.725760,-4.517071,-0.616857,1.498128
18,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Cardiomegaly,1.510552,-3.721045,0.702310,0.918359
19,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Lung Opacity,2.643472,-3.770409,0.299352,0.696529
20,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Edema,2.495929,-3.056094,1.297188,-0.029939
21,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Atelectasis,1.032744,-1.336449,-2.052097,-1.202044
22,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pleural Effusion,2.160865,-3.946147,0.464986,0.756194
23,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Support Devices,-3.469589,2.432156,-2.265834,-2.579721
24,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Cardiomegaly,2.788838,-3.580679,0.457325,1.093738
25,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Lung Opacity,-3.562187,2.126961,-2.698042,-3.812765
26,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Edema,2.472811,-4.440632,-0.570415,1.776248
27,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Atelectasis,2.209505,0.992975,-0.536550,-2.820010
28,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pleural Effusion,-2.606277,2.572760,-2.655070,-2.339647
29,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Support Devices,-4.617747,1.925497,-1.505967,-2.808921
30,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Cardiomegaly,1.930226,-0.695986,-0.985146,-2.183993
31,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Lung Opacity,1.218050,-3.247501,-1.182923,-1.917335
32,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Edema,2.947170,-1.670949,-1.290408,-1.267857
33,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Atelectasis,1.916983,-0.396650,-2.277637,-1.388569
34,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pleural Effusion,-1.403642,1.272010,2.320911,1.511774
35,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Support Devices,-0.914761,2.325437,0.512586,1.876412
36,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Cardiomegaly,2.183641,-1.086071,-1.351878,-1.190037
37,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Lung Opacity,0.283712,-0.314035,-1.196410,0.197028
38,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Edema,0.554295,-1.177332,-0.066144,-0.358355
39,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Atelectasis,0.793366,-3.090634,-1.819774,-0.556925
40,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Pleural Effusion,1.549604,-0.307205,-1.441185,-2.817066
41,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Support Devices,2.181772,-2.565218,-2.128676,0.126965
42,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Cardiomegaly,1.717550,-0.962652,-0.528712,-2.279795
43,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Lung Opacity,-1.443692,2.055630,-0.567725,1.344041
44,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Edema,0.108555,-1.210490,-1.220419,-1.902931
45,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Atelectasis,1.688936,-1.471617,-3.030895,0.117797
46,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Pleural Effusion,1.047066,-1.160568,-1.327379,-2.579273
47,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Support Devices,1.424205,0.392026,0.594526,0.662274
48,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Cardiomegaly,-4.676686,1.452910,-4.030461,-4.905781
49,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Lung Opacity,-2.166574,2.557428,-2.924167,-2.549330
50,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Edema,0.481437,-0.858111,-2.832654,-0.947171
51,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Atelectasis,-3.120467,2.176356,-3.651283,-1.960509
52,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Pleural Effusion,-1.647701,2.594219,-3.605106,-2.676141
53,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Support Devices,-0.944312,3.274576,-5.397957,-3.517632
54,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Cardiomegaly,-0.132314,1.024115,-0.343336,1.571265
55,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Lung Opacity,0.746729,-1.260869,-1.005170,-2.022396
56,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Edema,0.617817,1.450250,-0.051909,-0.628431
57,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Atelectasis,1.123590,-1.479534,-1.826492,-2.018399
58,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Pleural Effusion,2.141760,-0.509202,-2.172366,-1.145531
59,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,Support Devices,-2.645744,2.014050,2.625221,-0.240787
60,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Cardiomegaly,2.398244,-2.938866,-1.079334,-1.810523
61,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Lung Opacity,-0.164785,1.440342,0.058098,-0.630246
62,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Edema,3.976578,-0.595692,-1.258680,-0.619415
63,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Atelectasis,1.620439,-0.357880,-1.693364,-2.355704
64,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Pleural Effusion,0.804788,0.218045,0.062524,0.648101
65,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,Support Devices,1.249421,-1.381467,-2.097526,-1.955698
66,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Cardiomegaly,1.871069,-1.561159,-0.580774,-2.177066
67,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Lung Opacity,0.404205,-0.671026,-0.580407,-0.085563
68,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Edema,3.498847,0.252642,-0.472434,-1.930457
69,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Atelectasis,0.177623,-0.366099,0.643042,-0.732570
70,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Pleural Effusion,3.102133,-1.770923,-1.444869,-0.425704
71,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,Support Devices,1.923673,-0.565344,-0.853076,-3.214646
72,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Cardiomegaly,3.006938,-2.850727,2.469478,1.362172
73,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Lung Opacity,2.538790,-3.250568,0.692144,0.550281
74,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Edema,3.190660,-3.266649,0.710321,-0.146857
75,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Atelectasis,-5.453731,1.152988,-2.243541,-2.707277
76,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Pleural Effusion,2.337338,-3.142989,1.392849,0.772204
77,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,Support Devices,-2.315424,3.293371,-1.596208,-0.792212
78,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Cardiomegaly,-0.377238,2.704279,0.504153,2.382622
79,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Lung Opacity,-1.927265,0.608357,2.502038,2.605078
80,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Edema,1.530014,-2.464392,-0.579736,-2.416050
81,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Atelectasis,-0.920036,0.935392,1.246955,1.627359
82,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Pleural Effusion,1.401160,-0.692914,-1.279851,-1.523129
83,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,Support Devices,-1.819085,1.849716,2.015206,0.427374
84,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Cardiomegaly,3.012185,-3.225879,0.726109,0.350874
85,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Lung Opacity,-1.640510,2.909986,2.454137,1.352634
86,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Edema,1.784995,-4.088043,0.688058,1.077399
87,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Atelectasis,3.761482,-1.987332,4.007335,4.543055
88,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Pleural Effusion,5.362836,-1.584643,1.210199,2.890430
89,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,Support Devices,-2.545590,3.513792,-1.140694,-2.062735
90,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Cardiomegaly,-3.286358,2.468046,-2.570538,-3.662139
91,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Lung Opacity,3.974254,-3.017397,0.126302,0.791024
92,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Edema,3.463816,-2.071603,3.397263,3.449982
93,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Atelectasis,-3.722240,3.791621,0.452851,-1.126703
94,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Pleural Effusion,-5.090651,1.727747,-1.188753,-5.211030
95,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,Support Devices,-2.337423,2.187701,-5.009077,-1.644779
96,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Cardiomegaly,1.783627,-1.229291,-0.629186,-2.799546
97,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Lung Opacity,2.175858,-1.001045,0.123483,-1.251784
98,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Edema,1.070642,-0.097153,-1.178631,-3.125976
99,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Atelectasis,2.546841,-0.695110,-2.689813,-0.676877
100,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Pleural Effusion,0.740362,-1.307952,-0.550675,-2.677284
101,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,Support Devices,2.303513,-2.401964,-1.503532,0.399892
102,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Cardiomegaly,4.498765,-2.959277,0.182582,0.647718
103,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Lung Opacity,3.431722,-2.638543,1.008592,0.094091
104,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Edema,3.233816,-2.642719,0.305923,0.718866
105,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Atelectasis,2.139005,-3.643277,0.964924,0.740450
106,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Pleural Effusion,2.453785,-3.995229,0.528688,0.852982
107,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,Support Devices,1.279685,-4.855206,-0.442758,1.495806
108,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Cardiomegaly,0.147578,-1.264874,-0.611007,-1.748490
109,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Lung Opacity,0.946556,-0.821390,-2.277467,-2.182362
110,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Edema,2.408648,-1.309918,-1.054796,0.164827
111,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Atelectasis,0.553900,-0.307096,-2.933615,-2.445882
112,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Pleural Effusion,1.937696,-0.854141,-0.809458,-0.955631
113,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,Support Devices,0.899818,-2.153485,-1.093800,-1.487238
114,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Cardiomegaly,1.844631,-4.373550,0.435895,0.970648
115,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Lung Opacity,2.167665,-4.341737,-0.717608,1.940847
116,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Edema,3.074543,-3.828558,0.059246,0.979047
117,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Atelectasis,1.844034,-3.725333,1.213507,0.943733
118,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Pleural Effusion,2.304139,-3.885847,-0.132970,1.470462
119,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,Support Devices,2.677637,-3.300940,1.120686,0.077556
120,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Cardiomegaly,4.909038,-2.376549,0.944979,0.263799
121,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Lung Opacity,1.851861,-2.291678,-1.009472,-0.806541
122,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,Edema,2.907987,-2.771644,0.562084,0.473105
