subject,ability_f0,ability_f1
GPT-5.4,-9.614556,-5.482716
gpt-4o,-3.557675,-3.363250
CheXagent-8B,-3.460840,-0.237007
CheXagent-2-3B,-3.268937,-0.999730
LLaVA-Med-7B,-1.698230,-0.986405
LLaVA-1.5-7B,-1.913480,-3.018887
MedGemma-4B,-21.299450,3.870610
InternVL3-8B,0.422453,-0.895489
Phi-3.5-Vision,-0.661153,-0.131020
Qwen2.5-VL-32B,-0.986346,0.979614
BiomedCLIP,-2.482826,-24.336445
Pixtral-12B,-2.491712,-3.279100
Llama-3.2-Vision-11B,-2.535233,-3.453104
Qwen2.5-VL-3B,-1.620066,-3.508400
Qwen2.5-VL-7B,-2.340223,-2.756632
