subject,ability_f0,ability_f1,ability_f2
GPT-5.4,2.422908,-3.695696,-6.015718
gpt-4o,3.468973,3.031035,-6.276936
CheXagent-8B,2.475160,-1.182459,-0.913680
CheXagent-2-3B,0.570908,-0.578091,-1.611402
LLaVA-Med-7B,12.062560,3.082528,-4.338151
LLaVA-1.5-7B,7.255988,5.724143,-6.915799
MedGemma-4B,1.184209,-0.317833,0.086657
InternVL3-8B,-5.257971,11.773272,-4.527101
Phi-3.5-Vision,0.999319,1.902135,0.279979
Qwen2.5-VL-32B,18.782875,5.351417,9.689000
BiomedCLIP,1.816114,-4.338948,-4.295955
Pixtral-12B,5.347218,2.943269,-6.401300
Llama-3.2-Vision-11B,4.175782,3.830511,-5.314215
Qwen2.5-VL-3B,6.410017,8.391011,-5.073270
Qwen2.5-VL-7B,4.513484,3.320187,-7.194996
