item_idx,image_path,pathology,intercept_Z,loading_V_0,loading_V_1,loading_V_2
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Lung Lesion,2.060024,0.726775,-0.339536,-2.045870
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pneumothorax,2.884754,-0.506284,0.610788,-2.013775
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pleural Other,2.026246,0.291454,-2.561553,-2.384220
3,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Fracture,1.686660,-0.424226,0.465212,-2.681417
4,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Lung Lesion,2.274332,-1.568279,-1.632866,-2.784013
5,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pneumothorax,2.397278,-2.080417,-1.451207,-3.046559
6,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pleural Other,1.592193,-1.091108,-1.319610,-2.309905
7,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Fracture,5.798019,-1.104027,-0.917382,-1.506441
8,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Lung Lesion,2.721112,-0.090742,0.255636,-1.878558
9,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pneumothorax,1.505340,-1.197703,1.309662,-3.163831
10,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pleural Other,2.216621,1.474340,1.346420,-0.479306
11,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Fracture,2.304887,1.766596,2.355168,0.179879
12,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Lung Lesion,2.615690,-0.436248,0.875583,-2.104759
13,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pneumothorax,4.399696,-0.734204,0.797679,-2.004166
14,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pleural Other,4.231607,0.030696,-0.034578,-1.879789
15,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Fracture,1.986414,0.180641,0.302741,-1.831043
16,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Lung Lesion,1.644789,-1.145830,0.948400,-2.724636
17,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pneumothorax,3.035802,1.159313,-0.366230,-1.265237
18,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pleural Other,1.680843,-0.459232,0.561742,-2.285827
19,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Fracture,2.339101,-0.219570,0.429243,-2.092264
20,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Lung Lesion,1.248907,-0.463722,1.921782,-0.402546
21,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pneumothorax,2.739889,-0.817213,-1.829057,-2.154541
22,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pleural Other,2.495666,-1.742630,-2.100988,-2.758773
23,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Fracture,3.471218,-1.647026,-0.565514,-2.225055
24,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Lung Lesion,-0.054606,-1.007983,-2.110849,-2.753761
25,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Pneumothorax,-1.284098,0.959597,1.352121,2.362322
