subject,ability_f0,ability_f1
GPT-5.4,-14.899523,2.843840
gpt-4o,0.036757,0.346492
CheXagent-8B,-1.166237,-1.397692
CheXagent-2-3B,-2.177537,-3.286653
LLaVA-Med-7B,0.233766,-0.762151
LLaVA-1.5-7B,-0.750562,-1.255394
MedGemma-4B,-0.430380,-0.547114
InternVL3-8B,-7.495666,-30.632431
Phi-3.5-Vision,-1.163206,-1.714276
Qwen2.5-VL-32B,-3.550246,-16.694708
BiomedCLIP,-3.406390,2.638412
Pixtral-12B,-1.253426,-2.741719
Llama-3.2-Vision-11B,-1.280150,-1.326976
Qwen2.5-VL-3B,-0.945026,0.137946
Qwen2.5-VL-7B,-0.370847,1.232852
