subject,ability_f0,ability_f1,ability_f2
GPT-5.4,-7.406325,0.255041,-14.526820
gpt-4o,-2.947422,0.445277,-2.499580
CheXagent-8B,6.696579,-3.731699,-5.502420
CheXagent-2-3B,6.653699,-14.594254,-17.163042
LLaVA-Med-7B,1.128886,-0.365613,1.137263
LLaVA-1.5-7B,6.519579,-2.805820,-3.335579
MedGemma-4B,0.317238,-0.838682,-0.292950
InternVL3-8B,-6.609900,-22.276472,2.323883
Phi-3.5-Vision,7.548924,-6.273880,-5.463321
Qwen2.5-VL-32B,-1.374076,-3.117434,0.648436
BiomedCLIP,0.016783,0.828861,-1.370410
Pixtral-12B,1.515773,-3.153791,-1.994121
Llama-3.2-Vision-11B,4.805250,-2.569074,-4.321270
Qwen2.5-VL-3B,6.124553,-0.012332,-3.569702
Qwen2.5-VL-7B,2.885568,2.565114,-2.679151
