item_idx,image_path,pathology,intercept_Z,loading_V_0,loading_V_1,loading_V_2
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-2.052365,4.019838,0.378058,-0.070582
1,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Consolidation,4.271403,-2.395341,0.133035,-0.922126
2,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,Pneumonia,2.780527,-1.877790,1.066041,-1.169804
3,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,1.147458,-0.684125,0.166654,-3.248270
4,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Consolidation,0.166648,-1.825191,-1.810441,-2.438058
5,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,Pneumonia,0.170355,-1.066980,-0.316998,-1.092468
6,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-3.217408,2.096656,-1.601986,1.053167
7,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Consolidation,3.491559,-3.353016,2.835007,2.660732
8,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,Pneumonia,3.344483,-3.899675,3.296692,2.984648
9,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,2.272721,-1.696921,1.536727,-2.732785
10,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Consolidation,2.037311,-3.116679,0.015207,-0.268781
11,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,Pneumonia,1.814717,-1.439571,-1.936098,-0.783305
12,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-3.266484,1.364009,-1.453417,1.621727
13,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Consolidation,1.707060,-4.686856,0.209763,1.198973
14,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,Pneumonia,1.896697,-2.337700,0.566715,-1.229787
15,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,1.242007,0.338006,0.454402,0.456940
16,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Consolidation,-1.068294,-1.295186,-0.750181,-1.311966
17,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,Pneumonia,0.881240,-1.608891,-3.894334,-1.832817
18,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,0.454353,-1.361789,-0.429428,-2.368123
19,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Consolidation,2.626678,-1.525527,-2.419664,-1.873377
20,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,Pneumonia,-0.203893,-0.463722,1.921782,-0.402546
21,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Enlarged Cardiomediastinum,2.546702,-1.083279,-1.931582,-1.289700
22,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Consolidation,2.220363,-1.944331,-2.155412,-1.890846
23,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,Pneumonia,3.065064,-1.975088,-0.667351,-1.210356
24,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Enlarged Cardiomediastinum,-2.027235,4.374452,-3.501077,-3.121007
25,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Consolidation,-3.720435,2.515432,-0.018556,0.644558
26,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,Pneumonia,-2.080627,1.510237,-1.598954,1.944537
