subject,ability_f0,ability_f1
GPT-5.4,-5.924782,-13.880921
gpt-4o,-9.766922,-7.101449
CheXagent-8B,1.130778,-2.841311
CheXagent-2-3B,2.427290,-5.797141
LLaVA-Med-7B,-10.206137,-3.252379
LLaVA-1.5-7B,-0.126806,1.232797
MedGemma-4B,35.006138,-6.307484
InternVL3-8B,2.186340,-0.226684
Phi-3.5-Vision,9.969874,5.318591
Qwen2.5-VL-32B,0.635308,0.422482
BiomedCLIP,1.809318,1.274362
Pixtral-12B,-6.059187,-4.235192
Llama-3.2-Vision-11B,7.261913,0.744699
Qwen2.5-VL-3B,-0.447385,-0.375161
Qwen2.5-VL-7B,-4.807824,-2.329049
