subject,ability_f0,ability_f1,ability_f2
GPT-5.4,-7.413701,2.943015,14.629964
gpt-4o,-3.230065,5.484224,7.445987
CheXagent-8B,-15.607072,-8.384263,7.194793
CheXagent-2-3B,-2.526998,-0.948268,1.403090
LLaVA-Med-7B,-2.783056,8.276052,4.551785
LLaVA-1.5-7B,-11.092072,2.059186,-11.896002
MedGemma-4B,-0.478144,-1.799338,-0.900839
InternVL3-8B,1.160350,-16.118935,2.520728
Phi-3.5-Vision,2.482255,-8.054197,-7.994568
Qwen2.5-VL-32B,0.941466,-0.552190,-0.283108
BiomedCLIP,0.537759,-1.832324,-0.900501
Pixtral-12B,1.122815,2.654685,9.276683
Llama-3.2-Vision-11B,0.475796,-5.212249,-1.769185
Qwen2.5-VL-3B,1.296654,-0.282182,1.514144
Qwen2.5-VL-7B,0.310760,3.103904,4.946197
