item_idx,image_path,pathology,intercept_Z,loading_V_0,loading_V_1,loading_V_2
0,CheXpert-v1.0/train/patient64541/study1/view1_frontal.jpg,No Finding,1.925285,-0.121980,0.178581,2.368798
1,CheXpert-v1.0/train/patient64542/study1/view1_frontal.jpg,No Finding,-2.435380,1.730869,2.077295,-0.905208
2,CheXpert-v1.0/train/patient64543/study1/view1_frontal.jpg,No Finding,1.191564,-2.092249,-4.584639,0.569447
3,CheXpert-v1.0/train/patient64544/study1/view1_frontal.jpg,No Finding,-0.161382,-4.177086,-3.144719,-0.791126
4,CheXpert-v1.0/train/patient64545/study1/view1_frontal.jpg,No Finding,-0.591092,-3.697449,-3.790878,-0.291173
5,CheXpert-v1.0/train/patient64546/study1/view1_frontal.jpg,No Finding,2.134457,-3.046550,-1.640270,0.577497
6,CheXpert-v1.0/train/patient64547/study1/view1_frontal.jpg,No Finding,-2.411161,1.631366,1.024386,-0.991584
7,CheXpert-v1.0/train/patient64547/study1/view2_frontal.jpg,No Finding,0.194490,-2.333093,-1.217148,1.961743
8,CheXpert-v1.0/train/patient64548/study1/view1_frontal.jpg,No Finding,1.804188,-1.060858,-0.069729,2.799629
9,CheXpert-v1.0/train/patient64549/study1/view1_frontal.jpg,No Finding,-2.040135,1.293977,3.470873,-3.036677
10,CheXpert-v1.0/train/patient64551/study1/view1_frontal.jpg,No Finding,0.892364,-1.666519,-2.245072,2.164603
11,CheXpert-v1.0/train/patient64551/study1/view2_lateral.jpg,No Finding,0.195071,-0.020252,-0.437170,1.645867
12,CheXpert-v1.0/train/patient64552/study1/view1_frontal.jpg,No Finding,2.507252,-2.645273,0.682826,2.206529
13,CheXpert-v1.0/train/patient64553/study1/view1_frontal.jpg,No Finding,0.902804,-2.613322,-1.302440,0.099403
14,CheXpert-v1.0/train/patient64554/study1/view1_frontal.jpg,No Finding,-0.910091,1.984254,-1.214517,-1.419848
15,CheXpert-v1.0/train/patient64555/study1/view1_frontal.jpg,No Finding,0.749986,-1.245512,-0.750130,1.863248
16,CheXpert-v1.0/train/patient64556/study1/view1_frontal.jpg,No Finding,0.146984,-1.295186,-0.750181,-1.311966
17,CheXpert-v1.0/train/patient64556/study1/view2_lateral.jpg,No Finding,2.990904,-2.187805,-0.689743,1.956969
18,CheXpert-v1.0/train/patient64558/study1/view1_frontal.jpg,No Finding,1.410175,-1.554168,-0.190874,1.206662
19,CheXpert-v1.0/train/patient64558/study1/view2_lateral.jpg,No Finding,1.311649,-2.243659,0.499025,1.463871
20,CheXpert-v1.0/train/patient64559/study1/view1_frontal.jpg,No Finding,-2.257367,1.277108,0.312110,-2.292791
21,CheXpert-v1.0/train/patient64559/study1/view2_lateral.jpg,No Finding,-0.790967,0.123902,-0.666100,0.608047
22,CheXpert-v1.0/train/patient64560/study1/view1_frontal.jpg,No Finding,0.016180,-2.776665,-2.208814,1.325460
23,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,No Finding,-1.966348,1.205719,1.693600,-1.320467
24,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,No Finding,-1.284588,1.679404,0.413148,-1.205745
25,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,No Finding,0.299420,-0.077326,0.116399,-0.593991
26,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,No Finding,1.512037,-2.527925,-1.214624,2.062698
27,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,No Finding,2.051021,0.950417,0.238788,2.822155
28,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,No Finding,1.085229,-1.190082,-0.331973,3.333999
29,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,No Finding,-1.737728,2.121546,-0.381610,-1.456411
30,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,No Finding,1.221554,-1.234955,0.564694,1.895875
31,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,No Finding,-1.910314,-0.452908,0.532133,-3.435732
32,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,No Finding,0.879566,-2.044104,1.109054,1.743636
33,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,No Finding,1.700392,-0.553381,0.613426,2.400164
34,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,No Finding,-3.580502,-3.443430,-2.895817,-0.211943
35,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,No Finding,2.133701,-0.418600,0.820411,2.279486
36,CheXpert-v1.0/train/patient64571/study1/view1_frontal.jpg,No Finding,1.884176,-1.249023,-1.211251,1.672260
37,CheXpert-v1.0/train/patient64572/study1/view1_frontal.jpg,No Finding,2.005817,3.126585,3.112626,0.119721
