tier,model,n_params,n_obs,log_likelihood,AIC,BIC,test_log_likelihood,test_nll_per_obs,seconds
high,rasch,91209,869157,-394322.6562,971063.3125,2035953.8399,-55524.4297,0.585831,69.08
high,twopl,182403,869157,-323137.2188,1011080.4375,3140686.3630,-67662.0312,0.713893,17.16
high,threepl,273597,869157,-300837.1875,1148868.3750,4343189.6987,-76618.4219,0.808390,202.91
high,fm1,182403,869157,-265685.0625,896176.1250,3025782.0505,-83300.9688,0.878897,1463.42
high,fm2,273612,869157,-167593.2031,882410.4062,4076906.8591,-112407.2500,1.185993,258.27
high,fm3,364821,869157,-82157.7969,893957.5938,5153344.5740,-162923.1562,1.718979,276.13
mid,rasch,45612,434579,-154446.9219,400117.8438,901034.8953,-24801.3867,0.523446,47.29
mid,twopl,91209,434579,-118200.8828,418819.7656,1420489.1367,-43153.6641,0.910780,41.31
mid,threepl,136806,434579,-100575.8359,474763.6719,1977185.3625,-38097.5703,0.804069,45.02
mid,fm1,91209,434579,-101435.7656,385289.5312,1386958.9024,-29286.0898,0.618098,114.70
mid,fm2,136821,434579,-42357.2422,358356.4844,1860942.9070,-43998.4922,0.928610,143.80
mid,fm3,182433,434579,-19469.7168,403805.4336,2407308.9078,-60121.9688,1.268905,151.81
low,rasch,60811,579438,-112636.0000,346894.0000,1032222.6559,-21122.1328,0.333941,78.22
low,twopl,121607,579438,-84228.8359,411671.6719,1782159.9366,-35222.7266,0.556872,34.12
low,threepl,182403,579438,-72124.2109,509054.4219,2564702.2953,-39659.6797,0.627021,37.91
low,fm1,121607,579438,-71404.7812,386023.5625,1756511.8272,-27112.8047,0.428654,135.83
low,fm2,182418,579438,-25348.3555,415532.7109,2471349.6316,-54857.5898,0.867300,187.56
low,fm3,243229,579438,-12443.1914,511344.3828,3252489.9594,-63453.1602,1.003196,206.33
na,rasch,15214,144859,-65875.7812,162179.5625,312547.3770,-9249.6826,0.586239,7.21
na,twopl,30413,144859,-40299.9688,141425.9375,442013.3137,-16890.9727,1.070540,9.65
na,threepl,45612,144859,-36666.7422,164557.4844,615364.4223,-13883.3516,0.879918,5.60
na,fm1,30413,144859,-29337.1250,119500.2500,420087.6262,-12931.8965,0.819616,23.40
na,fm2,45627,144859,-15356.8506,121967.7012,572922.8918,-20510.2402,1.299926,32.38
na,fm3,60841,144859,-7973.3867,137628.7734,738951.7786,-29568.6270,1.874042,36.57
