pathology,40-59,60-79,80+,<40,max_minus_min
Atelectasis,0.5458,0.5011,0.4952,0.6019,0.1067
Cardiomegaly,0.5816,0.5325,0.5014,0.6436,0.1422
Consolidation,0.5934,0.5483,0.5428,0.6259,0.0830
Edema,0.6283,0.6072,0.5603,0.6856,0.1253
Enlarged Cardiomediastinum,0.4677,0.4223,0.3834,0.5530,0.1696
Fracture,0.7333,0.6985,0.6661,0.7280,0.0672
Lung Lesion,0.7922,0.8081,0.7985,0.7802,0.0279
Lung Opacity,0.5146,0.4925,0.4900,0.5531,0.0631
No Finding,0.5569,0.5511,0.5629,0.5783,0.0271
Pleural Effusion,0.6051,0.5854,0.5768,0.6361,0.0593
Pleural Other,0.8611,0.8467,0.8309,0.8920,0.0611
Pneumonia,0.7188,0.6951,0.6859,0.7183,0.0329
Pneumothorax,0.7972,0.7922,0.8198,0.7434,0.0764
Support Devices,0.6716,0.6555,0.6867,0.6712,0.0312
