subject,pathology,attribute,group_A,group_B,n_A,n_B,acc_A,acc_B,delta_acc,z
GPT-5.4,No Finding,sex,Male,Female,15160,9832,0.87058,0.88334,-0.01276,-2.9857
GPT-5.4,Enlarged Cardiomediastinum,sex,Male,Female,15160,9832,0.62975,0.62205,0.0077,1.2293
GPT-5.4,Cardiomegaly,sex,Male,Female,15160,9832,0.7223,0.70779,0.0145,2.4856
GPT-5.4,Lung Opacity,sex,Male,Female,15160,9832,0.80435,0.81703,-0.01267,-2.4914
GPT-5.4,Lung Lesion,sex,Male,Female,15160,9832,0.86609,0.8631,0.00299,0.6767
GPT-5.4,Edema,sex,Male,Female,15160,9832,0.6781,0.66467,0.01343,2.2112
GPT-5.4,Consolidation,sex,Male,Female,15160,9832,0.76201,0.75488,0.00712,1.2866
GPT-5.4,Pneumonia,sex,Male,Female,15160,9832,0.78404,0.78021,0.00383,0.7169
GPT-5.4,Atelectasis,sex,Male,Female,15160,9832,0.72632,0.7379,-0.01158,-2.016
GPT-5.4,Pneumothorax,sex,Male,Female,15160,9832,0.87922,0.89127,-0.01205,-2.9061
GPT-5.4,Pleural Effusion,sex,Male,Female,15160,9832,0.81201,0.81814,-0.00614,-1.2196
GPT-5.4,Pleural Other,sex,Male,Female,15160,9832,0.85376,0.85578,-0.00202,-0.4419
GPT-5.4,Fracture,sex,Male,Female,15160,9832,0.7097,0.70148,0.00821,1.3926
GPT-5.4,Support Devices,sex,Male,Female,15160,9832,0.8091,0.84022,-0.03111,-6.2724
Qwen2.5-VL-3B,No Finding,sex,Male,Female,5978,4014,0.64135,0.68211,-0.04076,-4.2099
Qwen2.5-VL-3B,Enlarged Cardiomediastinum,sex,Male,Female,5978,4014,0.48227,0.49228,-0.01001,-0.9813
Qwen2.5-VL-3B,Cardiomegaly,sex,Male,Female,5978,4014,0.55771,0.55456,0.00315,0.311
Qwen2.5-VL-3B,Lung Opacity,sex,Male,Female,5978,4014,0.45483,0.4701,-0.01527,-1.5012
Qwen2.5-VL-3B,Lung Lesion,sex,Male,Female,5978,4014,0.85564,0.84704,0.0086,1.1877
Qwen2.5-VL-3B,Edema,sex,Male,Female,5978,4014,0.58749,0.54634,0.04115,4.0743
Qwen2.5-VL-3B,Consolidation,sex,Male,Female,5978,4014,0.54734,0.51769,0.02965,2.9135
Qwen2.5-VL-3B,Pneumonia,sex,Male,Female,5978,4014,0.75895,0.73293,0.02601,2.9383
Qwen2.5-VL-3B,Atelectasis,sex,Male,Female,5978,4014,0.45969,0.44096,0.01873,1.8441
Qwen2.5-VL-3B,Pneumothorax,sex,Male,Female,5978,4014,0.86517,0.86697,-0.00179,-0.2579
Qwen2.5-VL-3B,Pleural Effusion,sex,Male,Female,5978,4014,0.54935,0.51644,0.03291,3.2335
Qwen2.5-VL-3B,Pleural Other,sex,Male,Female,5978,4014,0.87387,0.86522,0.00865,1.262
Qwen2.5-VL-3B,Fracture,sex,Male,Female,5978,4014,0.72717,0.70777,0.01939,2.1152
Qwen2.5-VL-3B,Support Devices,sex,Male,Female,5978,4014,0.67146,0.68435,-0.01289,-1.3507
Qwen2.5-VL-7B,No Finding,sex,Male,Female,5980,4020,0.83043,0.83582,-0.00539,-0.7074
Qwen2.5-VL-7B,Enlarged Cardiomediastinum,sex,Male,Female,5980,4020,0.65619,0.65249,0.0037,0.3815
Qwen2.5-VL-7B,Cardiomegaly,sex,Male,Female,5980,4020,0.59816,0.61119,-0.01303,-1.3063
