pathology,Female,Male,max_minus_min
Atelectasis,0.5194,0.5399,0.0205
Cardiomegaly,0.5709,0.5789,0.0080
Consolidation,0.5510,0.5902,0.0392
Edema,0.6134,0.6225,0.0091
Enlarged Cardiomediastinum,0.4698,0.4696,0.0002
Fracture,0.7055,0.7180,0.0125
Lung Lesion,0.7995,0.8101,0.0107
Lung Opacity,0.4963,0.5019,0.0056
No Finding,0.5889,0.5844,0.0045
Pleural Effusion,0.5992,0.6104,0.0113
Pleural Other,0.8546,0.8598,0.0052
Pneumonia,0.6959,0.7117,0.0158
Pneumothorax,0.8100,0.8032,0.0068
Support Devices,0.6861,0.6709,0.0152
