subject,group_0,group_1,group_2,group_3
GPT-5.4,-2.348378,-21.388941,-10.560721,11.958142
gpt-4o,0.167557,-18.555237,-2.070959,1.315724
CheXagent-8B,-8.627334,-2.004011,-0.104145,1.693569
CheXagent-2-3B,-8.579009,-1.825737,-0.751382,0.375916
LLaVA-Med-7B,-10.912571,-5.643988,1.399258,-9.717095
LLaVA-1.5-7B,-11.468568,-1.243488,-10.973835,3.652626
MedGemma-4B,-1.254631,-0.330426,0.411970,-0.053723
InternVL3-8B,-0.507426,0.205306,-0.334512,-0.026413
Phi-3.5-Vision,-10.251004,1.628222,1.418191,2.531421
Qwen2.5-VL-32B,-5.874665,-0.627429,-0.136976,0.256771
BiomedCLIP,0.507923,0.767941,-0.770366,1.335154
Pixtral-12B,-4.556688,-12.220068,-8.766761,15.912376
Llama-3.2-Vision-11B,-4.618177,0.734498,-10.694134,3.707131
Qwen2.5-VL-3B,-0.067164,-2.493145,-9.704425,4.805860
Qwen2.5-VL-7B,9.219347,-13.150311,-9.970631,13.104434
