a,b,n_subjects,spearman_rho,pearson_r
rasch,aggregate_accuracy,15,+1.0000,+0.9978
rasch,macro_per_pathology_accuracy,15,+1.0000,+0.9978
rasch,macro_prevalence_tier_accuracy,15,+0.9607,+0.9662
rasch,macro_anatomical_group_accuracy,15,+0.9643,+0.9901
rasch,macro_per_sex_accuracy,15,+0.9929,+0.9968
rasch,macro_per_age_bin_accuracy,15,+0.9929,+0.9955
rasch,macro_per_ap_pa_accuracy,15,+0.9750,+0.9789
twopl,aggregate_accuracy,15,+0.6786,+0.8276
twopl,macro_per_pathology_accuracy,15,+0.6786,+0.8276
twopl,macro_prevalence_tier_accuracy,15,+0.6821,+0.8032
twopl,macro_anatomical_group_accuracy,15,+0.6786,+0.8162
twopl,macro_per_sex_accuracy,15,+0.6643,+0.8228
twopl,macro_per_age_bin_accuracy,15,+0.6643,+0.8159
twopl,macro_per_ap_pa_accuracy,15,+0.5643,+0.7670
threepl,aggregate_accuracy,15,+0.7857,+0.5600
threepl,macro_per_pathology_accuracy,15,+0.7857,+0.5600
threepl,macro_prevalence_tier_accuracy,15,+0.8214,+0.6826
threepl,macro_anatomical_group_accuracy,15,+0.8036,+0.5382
threepl,macro_per_sex_accuracy,15,+0.7821,+0.5718
threepl,macro_per_age_bin_accuracy,15,+0.7821,+0.5758
threepl,macro_per_ap_pa_accuracy,15,+0.7036,+0.5969
fm1,aggregate_accuracy,15,+0.3214,+0.4021
fm1,macro_per_pathology_accuracy,15,+0.3214,+0.4021
fm1,macro_prevalence_tier_accuracy,15,+0.3393,+0.5007
fm1,macro_anatomical_group_accuracy,15,+0.3464,+0.3697
fm1,macro_per_sex_accuracy,15,+0.3143,+0.4068
fm1,macro_per_age_bin_accuracy,15,+0.3143,+0.4015
fm1,macro_per_ap_pa_accuracy,15,+0.1714,+0.3592
fm2,aggregate_accuracy,15,-0.0071,-0.1995
fm2,macro_per_pathology_accuracy,15,-0.0071,-0.1995
fm2,macro_prevalence_tier_accuracy,15,+0.0393,-0.0851
fm2,macro_anatomical_group_accuracy,15,-0.0250,-0.2286
fm2,macro_per_sex_accuracy,15,+0.0286,-0.1969
fm2,macro_per_age_bin_accuracy,15,+0.0286,-0.1865
fm2,macro_per_ap_pa_accuracy,15,+0.1393,-0.0589
fm3,aggregate_accuracy,15,+0.2786,+0.1472
fm3,macro_per_pathology_accuracy,15,+0.2786,+0.1472
fm3,macro_prevalence_tier_accuracy,15,+0.1286,-0.0118
fm3,macro_anatomical_group_accuracy,15,+0.2571,+0.1407
fm3,macro_per_sex_accuracy,15,+0.2964,+0.1329
fm3,macro_per_age_bin_accuracy,15,+0.2964,+0.1352
fm3,macro_per_ap_pa_accuracy,15,+0.3536,+0.1750
bifactor,aggregate_accuracy,15,+0.3000,+0.3805
bifactor,macro_per_pathology_accuracy,15,+0.3000,+0.3805
bifactor,macro_prevalence_tier_accuracy,15,+0.3679,+0.4461
bifactor,macro_anatomical_group_accuracy,15,+0.2357,+0.3307
bifactor,macro_per_sex_accuracy,15,+0.2679,+0.3703
bifactor,macro_per_age_bin_accuracy,15,+0.2679,+0.3608
bifactor,macro_per_ap_pa_accuracy,15,+0.2286,+0.3355
rasch,twopl,15,+0.6786,+0.8510
rasch,threepl,15,+0.7857,+0.5588
rasch,fm1,15,+0.3214,+0.3968
rasch,fm2,15,-0.0071,-0.1711
rasch,fm3,15,+0.2786,+0.1542
rasch,bifactor,15,+0.3000,+0.4115
twopl,threepl,15,+0.8786,+0.4793
twopl,fm1,15,+0.8536,+0.4363
twopl,fm2,15,-0.4286,-0.0810
twopl,fm3,15,-0.3250,+0.0451
twopl,bifactor,15,+0.6071,+0.6559
threepl,fm1,15,+0.5964,+0.8518
threepl,fm2,15,-0.1821,+0.1191
threepl,fm3,15,-0.1786,-0.4966
threepl,bifactor,15,+0.4179,+0.4355
fm1,fm2,15,-0.6143,-0.1329
fm1,fm3,15,-0.5679,-0.6658
fm1,bifactor,15,+0.7750,+0.5450
fm2,fm3,15,+0.4143,+0.0423
fm2,bifactor,15,-0.3071,-0.0376
fm3,bifactor,15,-0.4286,-0.2871
