subject,theta_hat,theta_lo,theta_hi,sd,n_obs
GPT-5.4,+2.257805,+2.245674,+2.269936,0.006189,352688
gpt-4o,+2.054209,+2.014142,+2.094276,0.020443,23198
CheXagent-8B,+1.062433,+1.049462,+1.075404,0.006618,140000
CheXagent-2-3B,+1.428030,+1.413421,+1.442639,0.007454,140000
LLaVA-Med-7B,+0.382475,+0.366503,+0.398447,0.008149,140000
LLaVA-1.5-7B,+0.510338,+0.498914,+0.521762,0.005829,140000
MedGemma-4B,+0.800281,+0.775432,+0.825130,0.012678,60200
InternVL3-8B,+0.534091,+0.510490,+0.557692,0.012041,88200
Phi-3.5-Vision,+0.172572,+0.158821,+0.186323,0.007016,139986
BiomedCLIP,+1.124127,+1.106580,+1.141674,0.008953,140000
Qwen2.5-VL-3B,+1.013080,+1.000340,+1.025820,0.006500,139888
Qwen2.5-VL-7B,+1.311680,+1.295244,+1.328116,0.008386,140000
