K,strategy,rep,spearman
10,top_discrimination,0,-0.006993006993006993
10,fisher_info_at_mean,0,0.27272727272727276
10,random,0,-0.06293706293706294
10,random,1,0.6993006993006995
10,random,2,0.7692307692307694
10,random,3,0.41958041958041964
10,random,4,0.6433566433566434
10,random,5,0.5454545454545455
10,random,6,0.7636363636363637
10,random,7,0.18181818181818185
10,random,8,-0.5181818181818182
10,random,9,0.22377622377622378
10,random,10,0.5034965034965035
10,random,11,-0.06363636363636364
10,random,12,0.6000000000000001
10,random,13,0.6181818181818182
10,random,14,0.6000000000000001
10,random,15,0.44545454545454555
10,random,16,-0.1272727272727273
10,random,17,-0.09090909090909091
10,random,18,0.6153846153846154
10,random,19,-0.28181818181818186
10,random,20,0.30000000000000004
10,random,21,0.6853146853146854
10,random,22,0.45454545454545453
10,random,23,0.4125874125874127
10,random,24,0.4895104895104896
10,random,25,0.41818181818181827
10,random,26,0.5874125874125874
10,random,27,-0.018181818181818184
10,random,28,0.7132867132867133
10,random,29,-0.1328671328671329
10,random,30,0.4265734265734266
10,random,31,0.14545454545454548
10,random,32,0.16363636363636366
10,random,33,0.14545454545454548
10,random,34,-0.17482517482517487
10,random,35,0.0979020979020979
10,random,36,0.5104895104895105
10,random,37,0.5
10,random,38,0.2545454545454546
10,random,39,0.6727272727272727
10,random,40,0.43636363636363645
10,random,41,0.19999999999999998
10,random,42,0.06993006993006995
10,random,43,0.39860139860139865
10,random,44,0.4055944055944056
10,random,45,0.24545454545454545
10,random,46,0.39090909090909093
10,random,47,0.0979020979020979
10,random,48,0.07692307692307693
10,random,49,0.6545454545454547
10,random,50,0.3545454545454546
10,random,51,0.4755244755244756
10,random,52,0.5090909090909091
10,random,53,0.4545454545454546
10,random,54,0.30000000000000004
10,random,55,0.39090909090909093
10,random,56,0.1272727272727273
10,random,57,0.6090909090909091
10,random,58,0.16083916083916086
10,random,59,0.2517482517482518
10,random,60,0.4727272727272727
10,random,61,-0.006993006993006993
10,random,62,0.5909090909090909
10,random,63,0.34965034965034975
10,random,64,0.25874125874125875
10,random,65,0.46363636363636374
10,random,66,0.6923076923076924
10,random,67,0.5034965034965035
10,random,68,-0.018181818181818184
10,random,69,0.027972027972027972
10,random,70,0.6783216783216784
10,random,71,0.7272727272727273
10,random,72,0.3426573426573427
10,random,73,0.034965034965034975
10,random,74,0.39860139860139865
10,random,75,0.3216783216783217
10,random,76,-0.16363636363636366
10,random,77,0.3426573426573427
10,random,78,0.6363636363636364
10,random,79,0.3426573426573427
10,random,80,0.41958041958041964
10,random,81,0.15454545454545454
10,random,82,0.49650349650349657
10,random,83,0.6000000000000001
10,random,84,0.41958041958041964
10,random,85,0.5
10,random,86,0.8881118881118882
10,random,87,0.790909090909091
10,random,88,0.5384615384615385
10,random,89,0.43636363636363645
10,random,90,0.18881118881118883
10,random,91,0.6545454545454547
10,random,92,0.5181818181818182
10,random,93,0.18881118881118883
10,random,94,0.35664335664335667
10,random,95,0.23636363636363633
10,random,96,0.41818181818181815
10,random,97,0.6713286713286714
10,random,98,0.27272727272727276
10,random,99,0.5
25,top_discrimination,0,0.3356643356643357
25,fisher_info_at_mean,0,0.27272727272727276
25,random,0,0.17482517482517487
25,random,1,0.7545454545454545
25,random,2,0.5804195804195805
25,random,3,0.8041958041958043
25,random,4,0.4272727272727273
25,random,5,0.7727272727272727
25,random,6,0.7482517482517484
25,random,7,0.6818181818181819
25,random,8,0.7272727272727274
25,random,9,0.6013986013986015
25,random,10,0.6713286713286714
25,random,11,0.5594405594405596
25,random,12,0.7832167832167832
25,random,13,0.4685314685314686
25,random,14,0.1258741258741259
25,random,15,0.6993006993006995
25,random,16,0.5244755244755246
25,random,17,0.7902097902097903
25,random,18,0.14685314685314685
25,random,19,0.5174825174825175
25,random,20,0.5454545454545455
25,random,21,0.8251748251748254
25,random,22,0.6083916083916086
25,random,23,0.5664335664335665
25,random,24,0.5104895104895105
25,random,25,0.34965034965034975
25,random,26,0.6643356643356644
25,random,27,0.5181818181818182
25,random,28,0.8251748251748254
25,random,29,0.7972027972027973
25,random,30,0.21678321678321683
25,random,31,0.36363636363636365
25,random,32,0.4755244755244756
25,random,33,0.20000000000000004
25,random,34,0.7062937062937064
25,random,35,0.7762237762237763
25,random,36,0.22377622377622378
25,random,37,0.7062937062937064
25,random,38,0.7482517482517484
25,random,39,0.8951048951048951
25,random,40,0.6713286713286714
25,random,41,0.5034965034965035
25,random,42,0.8601398601398602
25,random,43,0.8181818181818183
25,random,44,0.7181818181818183
25,random,45,0.6783216783216784
25,random,46,0.5104895104895105
25,random,47,0.8671328671328673
25,random,48,0.055944055944055944
25,random,49,0.6223776223776225
25,random,50,0.5384615384615385
25,random,51,0.8111888111888113
25,random,52,0.8041958041958043
25,random,53,0.35664335664335667
25,random,54,0.41958041958041964
25,random,55,0.8090909090909091
25,random,56,0.6643356643356644
25,random,57,0.6293706293706295
25,random,58,0.7342657342657343
25,random,59,0.7342657342657343
25,random,60,0.8601398601398602
25,random,61,-0.04195804195804196
25,random,62,0.6573426573426573
25,random,63,0.6363636363636365
25,random,64,0.14685314685314685
25,random,65,0.7132867132867133
25,random,66,0.7181818181818183
25,random,67,0.5244755244755246
25,random,68,0.5314685314685316
25,random,69,0.4272727272727273
25,random,70,0.7972027972027973
25,random,71,0.8321678321678322
25,random,72,0.09090909090909093
25,random,73,0.6713286713286714
25,random,74,0.2447552447552448
25,random,75,0.6818181818181819
25,random,76,0.5524475524475525
25,random,77,0.5874125874125874
25,random,78,0.3181818181818182
25,random,79,0.6433566433566434
25,random,80,0.034965034965034975
25,random,81,0.2867132867132868
25,random,82,0.8811188811188813
25,random,83,0.8363636363636365
25,random,84,0.46363636363636374
25,random,85,0.44055944055944063
25,random,86,0.46363636363636374
25,random,87,0.6363636363636364
25,random,88,0.2027972027972028
25,random,89,0.7062937062937064
25,random,90,0.3916083916083916
25,random,91,0.41818181818181827
25,random,92,0.35664335664335667
25,random,93,0.6643356643356644
25,random,94,0.7545454545454545
25,random,95,0.6083916083916086
25,random,96,0.3706293706293707
25,random,97,0.7412587412587414
25,random,98,0.2867132867132868
25,random,99,0.3846153846153847
50,top_discrimination,0,0.39860139860139865
50,fisher_info_at_mean,0,0.2545454545454546
50,random,0,0.6573426573426573
50,random,1,0.6363636363636364
50,random,2,0.4909090909090909
50,random,3,0.5174825174825175
50,random,4,0.5664335664335665
50,random,5,0.9300699300699302
50,random,6,0.5944055944055945
50,random,7,0.5454545454545455
50,random,8,0.7132867132867133
50,random,9,0.6853146853146854
50,random,10,0.2377622377622378
50,random,11,0.7692307692307694
50,random,12,0.6573426573426573
50,random,13,0.3846153846153847
50,random,14,0.2657342657342658
50,random,15,0.7762237762237763
50,random,16,0.7272727272727274
50,random,17,0.20000000000000004
50,random,18,0.30069930069930073
50,random,19,0.6293706293706295
50,random,20,0.9230769230769231
50,random,21,0.32867132867132864
50,random,22,0.6853146853146854
50,random,23,0.7972027972027973
50,random,24,0.8531468531468532
50,random,25,0.8111888111888113
50,random,26,0.8321678321678322
50,random,27,0.5664335664335665
50,random,28,0.9580419580419581
50,random,29,0.34965034965034975
50,random,30,0.7552447552447553
50,random,31,0.8391608391608393
50,random,32,0.4895104895104896
50,random,33,0.6545454545454547
50,random,34,0.7272727272727274
50,random,35,0.6783216783216784
50,random,36,0.5734265734265735
50,random,37,0.5944055944055945
50,random,38,0.5314685314685316
50,random,39,0.6223776223776225
50,random,40,0.8251748251748254
50,random,41,0.7552447552447553
50,random,42,0.6713286713286714
50,random,43,0.1398601398601399
50,random,44,0.7000000000000001
50,random,45,0.4895104895104896
50,random,46,0.4055944055944056
50,random,47,0.6153846153846154
50,random,48,0.7832167832167832
50,random,49,0.7272727272727274
50,random,50,0.8881118881118882
50,random,51,0.6153846153846154
50,random,52,0.9090909090909091
50,random,53,0.3356643356643357
50,random,54,0.690909090909091
50,random,55,0.6433566433566434
50,random,56,0.7132867132867133
50,random,57,0.5314685314685316
50,random,58,0.7762237762237763
50,random,59,0.881818181818182
50,random,60,0.6993006993006995
50,random,61,0.8391608391608393
50,random,62,0.5384615384615385
50,random,63,0.7000000000000001
50,random,64,0.6713286713286714
50,random,65,0.36363636363636365
50,random,66,0.44055944055944063
50,random,67,0.7062937062937064
50,random,68,0.8461538461538463
50,random,69,0.2447552447552448
50,random,70,0.8741258741258742
50,random,71,0.8741258741258742
50,random,72,0.8391608391608393
50,random,73,0.9020979020979022
50,random,74,0.7272727272727274
50,random,75,0.8601398601398602
50,random,76,0.5874125874125874
50,random,77,0.27272727272727276
50,random,78,0.6293706293706295
50,random,79,0.7972027972027973
50,random,80,0.6993006993006995
50,random,81,0.6293706293706295
50,random,82,0.4125874125874127
50,random,83,0.8461538461538463
50,random,84,0.7552447552447553
50,random,85,0.7622377622377624
50,random,86,0.9090909090909092
50,random,87,0.6853146853146854
50,random,88,0.7272727272727274
50,random,89,0.5174825174825175
50,random,90,0.6573426573426573
50,random,91,0.4545454545454546
50,random,92,0.6083916083916086
50,random,93,0.3916083916083916
50,random,94,0.7181818181818183
50,random,95,0.7062937062937064
50,random,96,0.6783216783216784
50,random,97,0.5804195804195805
50,random,98,0.5818181818181819
50,random,99,0.965034965034965
100,top_discrimination,0,0.4685314685314686
100,fisher_info_at_mean,0,0.4909090909090909
100,random,0,0.9370629370629372
100,random,1,0.8671328671328673
100,random,2,0.8181818181818183
100,random,3,0.9510489510489512
100,random,4,0.4685314685314686
100,random,5,0.6713286713286714
100,random,6,0.8391608391608393
100,random,7,0.9020979020979022
100,random,8,0.7552447552447553
100,random,9,0.7272727272727274
100,random,10,0.9020979020979022
100,random,11,0.6853146853146854
100,random,12,0.8251748251748254
100,random,13,0.7482517482517484
100,random,14,0.8321678321678322
100,random,15,0.7482517482517484
100,random,16,0.7832167832167832
100,random,17,0.8321678321678322
100,random,18,0.9160839160839163
100,random,19,0.9440559440559443
100,random,20,0.7202797202797203
100,random,21,0.8251748251748254
100,random,22,0.7132867132867133
100,random,23,0.6293706293706295
100,random,24,0.7412587412587414
100,random,25,0.9440559440559443
100,random,26,0.7762237762237763
100,random,27,0.9300699300699302
100,random,28,0.9160839160839163
100,random,29,0.7000000000000001
100,random,30,0.8811188811188813
100,random,31,0.9230769230769231
